NACE-groepen,Referentiemaand,Gedeflateerde bruto-index,Tendens gedeflateerde index
Totaal detailhandel met uitzondering van de brandstoffen,December 2022,119.771,97.864
Totaal detailhandel met uitzondering van de brandstoffen,Januari 2023,96.442,98.271
Totaal detailhandel met uitzondering van de brandstoffen,Februari 2023,87.649,98.717
Totaal detailhandel met uitzondering van de brandstoffen,Maart 2023,98.518,98.756
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,December 2022,107.195,90.258
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,Januari 2023,85.693,89.658
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,Februari 2023,80.937,89.163
Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen,Maart 2023,90.014,88.67
Overige detailhandel in niet-gespecialiseerde winkels,December 2022,143.894,109.605
Overige detailhandel in niet-gespecialiseerde winkels,Januari 2023,100.816,109.284
Overige detailhandel in niet-gespecialiseerde winkels,Februari 2023,93.453,109.197
Overige detailhandel in niet-gespecialiseerde winkels,Maart 2023,99.035,109.22
Detailhandel in niet-gespecialiseerde winkels,December 2022,109.961,91.917
Detailhandel in niet-gespecialiseerde winkels,Januari 2023,86.927,91.363
Detailhandel in niet-gespecialiseerde winkels,Februari 2023,82.063,90.977
Detailhandel in niet-gespecialiseerde winkels,Maart 2023,90.856,90.625
Voedingsmiddelen in gespecialiseerde winkels,December 2022,105.768,84.052
Voedingsmiddelen in gespecialiseerde winkels,Januari 2023,75.065,83.876
Voedingsmiddelen in gespecialiseerde winkels,Februari 2023,72.749,84.225
Voedingsmiddelen in gespecialiseerde winkels,Maart 2023,85.128,84.638
Motorbrandstoffen in gespecialiseerde winkels,December 2022,98.482,90.834
Motorbrandstoffen in gespecialiseerde winkels,Januari 2023,86.649,91.175
Motorbrandstoffen in gespecialiseerde winkels,Februari 2023,88.876,91.238
Motorbrandstoffen in gespecialiseerde winkels,Maart 2023,94.553,91.092
"Voedingsmiddelen, dranken en tabak",December 2022,107.23,89.889
"Voedingsmiddelen, dranken en tabak",Januari 2023,84.138,89.339
"Voedingsmiddelen, dranken en tabak",Februari 2023,79.788,88.921
"Voedingsmiddelen, dranken en tabak",Maart 2023,89.313,88.541
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),December 2022,124.081,103.177
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),Januari 2023,100.218,101.601
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),Februari 2023,88.762,101.587
Detailhandel in niet-voedingswaren (exclusief motorbrandstoffen),Maart 2023,99.645,102.123
ICT-apparatuur in gespecialiseerde winkels,December 2022,142.987,109.27
ICT-apparatuur in gespecialiseerde winkels,Januari 2023,119.965,109.336
ICT-apparatuur in gespecialiseerde winkels,Februari 2023,95.594,109.887
ICT-apparatuur in gespecialiseerde winkels,Maart 2023,113.757,110.686
Andere consumentenartikelen in gespecialiseerde winkels,December 2022,128.461,123.173
Andere consumentenartikelen in gespecialiseerde winkels,Januari 2023,114.788,123.463
Andere consumentenartikelen in gespecialiseerde winkels,Februari 2023,105.623,123.785
Andere consumentenartikelen in gespecialiseerde winkels,Maart 2023,119.019,124.135
Cultuur- en recreatieartikelen in gespecialiseerde winkels,December 2022,128.52,98.713
Cultuur- en recreatieartikelen in gespecialiseerde winkels,Januari 2023,86.473,98.565
Cultuur- en recreatieartikelen in gespecialiseerde winkels,Februari 2023,80.987,98.475
Cultuur- en recreatieartikelen in gespecialiseerde winkels,Maart 2023,86.154,98.426
Detailhandel in andere artikelen in gespecialiseerde winkels,December 2022,130.047,111.122
Detailhandel in andere artikelen in gespecialiseerde winkels,Januari 2023,105.38,110.92
Detailhandel in andere artikelen in gespecialiseerde winkels,Februari 2023,93.481,110.764
Detailhandel in andere artikelen in gespecialiseerde winkels,Maart 2023,105.201,110.673
Markt- en straathandel,December 2022,115.17,107.344
Markt- en straathandel,Januari 2023,114.838,110.893
Markt- en straathandel,Februari 2023,95.083,110.251
Markt- en straathandel,Maart 2023,99.532,107.035
Detailhandel via postorderbedrijven of via internet,December 2022,220.056,195.344
Detailhandel via postorderbedrijven of via internet,Januari 2023,199.021,193.313
Detailhandel via postorderbedrijven of via internet,Februari 2023,161.855,191.962
Detailhandel via postorderbedrijven of via internet,Maart 2023,194.522,191.335
"Detailhandel, niet in winkels en exclusief markt-en straathandel",December 2022,182.822,157.98
"Detailhandel, niet in winkels en exclusief markt-en straathandel",Januari 2023,160.786,157.68
"Detailhandel, niet in winkels en exclusief markt-en straathandel",Februari 2023,133.925,157.557
"Detailhandel, niet in winkels en exclusief markt-en straathandel",Maart 2023,160.784,157.704
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",December 2022,117.259,100.307
"Textiel, kleding, schoeisel en lederwaren in gespecialiseerde winkels",Januari 2023,103.616,100.389
