Totaal,Niveau 1,Jaar,Trimester,Maand,Inflatie (HICP)
Totaal,1. Voeding en niet-alcoholische dranken,2022,2de kwartaal 2022,April 2022,0.055
Totaal,1. Voeding en niet-alcoholische dranken,2022,2de kwartaal 2022,Mei 2022,0.07
Totaal,1. Voeding en niet-alcoholische dranken,2022,2de kwartaal 2022,Juni 2022,0.087
Totaal,1. Voeding en niet-alcoholische dranken,2022,3de kwartaal 2022,Juli 2022,0.099
Totaal,1. Voeding en niet-alcoholische dranken,2022,3de kwartaal 2022,Augustus 2022,0.103
Totaal,1. Voeding en niet-alcoholische dranken,2022,3de kwartaal 2022,September 2022,0.113
Totaal,1. Voeding en niet-alcoholische dranken,2022,4de kwartaal 2022,Oktober 2022,0.132
Totaal,1. Voeding en niet-alcoholische dranken,2022,4de kwartaal 2022,November 2022,0.153
Totaal,1. Voeding en niet-alcoholische dranken,2022,4de kwartaal 2022,December 2022,0.154
Totaal,1. Voeding en niet-alcoholische dranken,2023,1ste kwartaal 2023,Januari 2023,0.188
Totaal,1. Voeding en niet-alcoholische dranken,2023,1ste kwartaal 2023,Februari 2023,0.194
Totaal,1. Voeding en niet-alcoholische dranken,2023,1ste kwartaal 2023,Maart 2023,0.203
Totaal,2. Alcoholische dranken en tabak,2022,2de kwartaal 2022,April 2022,0.034
Totaal,2. Alcoholische dranken en tabak,2022,2de kwartaal 2022,Mei 2022,0.042
Totaal,2. Alcoholische dranken en tabak,2022,2de kwartaal 2022,Juni 2022,0.06
Totaal,2. Alcoholische dranken en tabak,2022,3de kwartaal 2022,Juli 2022,0.064
Totaal,2. Alcoholische dranken en tabak,2022,3de kwartaal 2022,Augustus 2022,0.066
Totaal,2. Alcoholische dranken en tabak,2022,3de kwartaal 2022,September 2022,0.067
Totaal,2. Alcoholische dranken en tabak,2022,4de kwartaal 2022,Oktober 2022,0.068
Totaal,2. Alcoholische dranken en tabak,2022,4de kwartaal 2022,November 2022,0.071
Totaal,2. Alcoholische dranken en tabak,2022,4de kwartaal 2022,December 2022,0.077
Totaal,2. Alcoholische dranken en tabak,2023,1ste kwartaal 2023,Januari 2023,0.084
Totaal,2. Alcoholische dranken en tabak,2023,1ste kwartaal 2023,Februari 2023,0.089
Totaal,2. Alcoholische dranken en tabak,2023,1ste kwartaal 2023,Maart 2023,0.089
Totaal,3. Kleding en schoeisel,2022,2de kwartaal 2022,April 2022,-0.001
Totaal,3. Kleding en schoeisel,2022,2de kwartaal 2022,Mei 2022,-0.006
Totaal,3. Kleding en schoeisel,2022,2de kwartaal 2022,Juni 2022,-0.014
Totaal,3. Kleding en schoeisel,2022,3de kwartaal 2022,Juli 2022,0.022
Totaal,3. Kleding en schoeisel,2022,3de kwartaal 2022,Augustus 2022,-0.001
Totaal,3. Kleding en schoeisel,2022,3de kwartaal 2022,September 2022,0.03
Totaal,3. Kleding en schoeisel,2022,4de kwartaal 2022,Oktober 2022,0.043
Totaal,3. Kleding en schoeisel,2022,4de kwartaal 2022,November 2022,0.062
Totaal,3. Kleding en schoeisel,2022,4de kwartaal 2022,December 2022,0.07
Totaal,3. Kleding en schoeisel,2023,1ste kwartaal 2023,Januari 2023,0.081
Totaal,3. Kleding en schoeisel,2023,1ste kwartaal 2023,Februari 2023,0.052
Totaal,3. Kleding en schoeisel,2023,1ste kwartaal 2023,Maart 2023,0.063
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,2de kwartaal 2022,April 2022,0.326
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,2de kwartaal 2022,Mei 2022,0.335
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,2de kwartaal 2022,Juni 2022,0.324
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,3de kwartaal 2022,Juli 2022,0.294
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,3de kwartaal 2022,Augustus 2022,0.312
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,3de kwartaal 2022,September 2022,0.393
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,4de kwartaal 2022,Oktober 2022,0.42
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,4de kwartaal 2022,November 2022,0.243
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,4de kwartaal 2022,December 2022,0.226
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,1ste kwartaal 2023,Januari 2023,0.024
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,1ste kwartaal 2023,Februari 2023,-0.081
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,1ste kwartaal 2023,Maart 2023,-0.097
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,2de kwartaal 2022,April 2022,0.039
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,2de kwartaal 2022,Mei 2022,0.04
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,2de kwartaal 2022,Juni 2022,0.047
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,3de kwartaal 2022,Juli 2022,0.053
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,3de kwartaal 2022,Augustus 2022,0.055
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,3de kwartaal 2022,September 2022,0.055
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,4de kwartaal 2022,Oktober 2022,0.059
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,4de kwartaal 2022,November 2022,0.061
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2022,4de kwartaal 2022,December 2022,0.065
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2023,1ste kwartaal 2023,Januari 2023,0.072
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2023,1ste kwartaal 2023,Februari 2023,0.075
Totaal,"5. Meubelen, huishoudelijke apparaten en normaal onderhoud van de woning",2023,1ste kwartaal 2023,Maart 2023,0.074
Totaal,6. Gezondheid,2022,2de kwartaal 2022,April 2022,0.015
Totaal,6. Gezondheid,2022,2de kwartaal 2022,Mei 2022,0.017
Totaal,6. Gezondheid,2022,2de kwartaal 2022,Juni 2022,0.019
Totaal,6. Gezondheid,2022,3de kwartaal 2022,Juli 2022,0.02
Totaal,6. Gezondheid,2022,3de kwartaal 2022,Augustus 2022,0.022
Totaal,6. Gezondheid,2022,3de kwartaal 2022,September 2022,0.024
