Alle economische activiteiten,Sectie,Jaar,Maand,Aantal faillissementen
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Maart 2022,8.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,April 2022,11.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Mei 2022,7.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Juni 2022,10.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Juli 2022,5.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Augustus 2022,1.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,September 2022,6.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,Oktober 2022,9.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,November 2022,5.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2022,December 2022,5.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2023,Januari 2023,5.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2023,Februari 2023,3.0
Alle economische activiteiten,"A Landbouw, bosbouw en visserij",2023,Maart 2023,6.0
Alle economische activiteiten,B Winning van delfstoffen,2022,Maart 2022,1.0
Alle economische activiteiten,B Winning van delfstoffen,2022,April 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,Mei 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,Juni 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,Juli 2022,1.0
Alle economische activiteiten,B Winning van delfstoffen,2022,Augustus 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,September 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,Oktober 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,November 2022,
Alle economische activiteiten,B Winning van delfstoffen,2022,December 2022,
Alle economische activiteiten,B Winning van delfstoffen,2023,Januari 2023,
Alle economische activiteiten,B Winning van delfstoffen,2023,Februari 2023,
Alle economische activiteiten,B Winning van delfstoffen,2023,Maart 2023,
Alle economische activiteiten,C Industrie,2022,Maart 2022,44.0
Alle economische activiteiten,C Industrie,2022,April 2022,26.0
Alle economische activiteiten,C Industrie,2022,Mei 2022,27.0
Alle economische activiteiten,C Industrie,2022,Juni 2022,40.0
Alle economische activiteiten,C Industrie,2022,Juli 2022,32.0
Alle economische activiteiten,C Industrie,2022,Augustus 2022,18.0
Alle economische activiteiten,C Industrie,2022,September 2022,48.0
Alle economische activiteiten,C Industrie,2022,Oktober 2022,37.0
Alle economische activiteiten,C Industrie,2022,November 2022,25.0
Alle economische activiteiten,C Industrie,2022,December 2022,45.0
Alle economische activiteiten,C Industrie,2023,Januari 2023,37.0
Alle economische activiteiten,C Industrie,2023,Februari 2023,35.0
Alle economische activiteiten,C Industrie,2023,Maart 2023,46.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Maart 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,April 2022,2.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Mei 2022,1.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Juni 2022,1.0
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Juli 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,Augustus 2022,
Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",2022,September 2022,1.0
