Alle geslachte dieren,Diersoort,Jaar,België,Gewest,Aantal slachtingen,Totaal slachtgewicht
Alle geslachte dieren,Runderen,2020,België,Vlaams + Brussels Hoofdstedeli,562329,162194365
Alle geslachte dieren,Runderen,2020,België,Waals Gewest,220322,92314326
Alle geslachte dieren,Runderen,2020,België,,782651,254508691
Alle geslachte dieren,Runderen,2021,België,Vlaams + Brussels Hoofdstedeli,558182,157995784
Alle geslachte dieren,Runderen,2021,België,Waals Gewest,208757,89125962
Alle geslachte dieren,Runderen,2021,België,,766939,247121746
Alle geslachte dieren,Runderen,2022,België,Vlaams + Brussels Hoofdstedeli,548960,151131114
Alle geslachte dieren,Runderen,2022,België,Waals Gewest,206121,87005976
Alle geslachte dieren,Runderen,2022,België,,755081,238137090
Alle geslachte dieren,Varkens,2020,België,Vlaams + Brussels Hoofdstedeli,10420962,1025197234
Alle geslachte dieren,Varkens,2020,België,Waals Gewest,729280,73517253
Alle geslachte dieren,Varkens,2020,België,,11150242,1098714487
Alle geslachte dieren,Varkens,2021,België,Vlaams + Brussels Hoofdstedeli,10793312,1062770171
Alle geslachte dieren,Varkens,2021,België,Waals Gewest,791347,77232197
Alle geslachte dieren,Varkens,2021,België,,11584659,1140002368
Alle geslachte dieren,Varkens,2022,België,Vlaams + Brussels Hoofdstedeli,9810633,954629548
Alle geslachte dieren,Varkens,2022,België,Waals Gewest,709695,77567006
Alle geslachte dieren,Varkens,2022,België,,10520328,1032196554
Alle geslachte dieren,Schapen (totaal),2020,België,Vlaams + Brussels Hoofdstedeli,72027,1557816
Alle geslachte dieren,Schapen (totaal),2020,België,Waals Gewest,45231,970771
Alle geslachte dieren,Schapen (totaal),2020,België,,117258,2528587
Alle geslachte dieren,Schapen (totaal),2021,België,Vlaams + Brussels Hoofdstedeli,73682,1623925
Alle geslachte dieren,Schapen (totaal),2021,België,Waals Gewest,47592,1049373
Alle geslachte dieren,Schapen (totaal),2021,België,,121274,2673298
Alle geslachte dieren,Schapen (totaal),2022,België,Vlaams + Brussels Hoofdstedeli,50572,1116918
Alle geslachte dieren,Schapen (totaal),2022,België,Waals Gewest,45587,999683
Alle geslachte dieren,Schapen (totaal),2022,België,,96159,2116601
Alle geslachte dieren,Geiten,2020,België,Vlaams + Brussels Hoofdstedeli,15139,303767
Alle geslachte dieren,Geiten,2020,België,Waals Gewest,1121,13000
Alle geslachte dieren,Geiten,2020,België,,16260,316767
Alle geslachte dieren,Geiten,2021,België,Vlaams + Brussels Hoofdstedeli,20421,360946
Alle geslachte dieren,Geiten,2021,België,Waals Gewest,1878,23329
Alle geslachte dieren,Geiten,2021,België,,22299,384275
Alle geslachte dieren,Geiten,2022,België,Vlaams + Brussels Hoofdstedeli,21237,365868
Alle geslachte dieren,Geiten,2022,België,Waals Gewest,2496,31255
Alle geslachte dieren,Geiten,2022,België,,23733,397123
Alle geslachte dieren,Paarden totaal,2020,België,Vlaams + Brussels Hoofdstedeli,3684,1162462
Alle geslachte dieren,Paarden totaal,2020,België,Waals Gewest,68,21635
Alle geslachte dieren,Paarden totaal,2020,België,,3752,1184097
Alle geslachte dieren,Paarden totaal,2021,België,Vlaams + Brussels Hoofdstedeli,1521,489954
Alle geslachte dieren,Paarden totaal,2021,België,Waals Gewest,10,3673
Alle geslachte dieren,Paarden totaal,2021,België,,1531,493627
Alle geslachte dieren,Paarden totaal,2022,België,Vlaams + Brussels Hoofdstedeli,1299,425624
Alle geslachte dieren,Paarden totaal,2022,België,Waals Gewest,12,4247
Alle geslachte dieren,Paarden totaal,2022,België,,1311,429871
Alle geslachte dieren,Gevogelte,2020,België,Vlaams + Brussels Hoofdstedeli,249023772,385399464
Alle geslachte dieren,Gevogelte,2020,België,Waals Gewest,49116921,63574408
Alle geslachte dieren,Gevogelte,2020,België,,298140693,448973872
Alle geslachte dieren,Gevogelte,2021,België,Vlaams + Brussels Hoofdstedeli,254101182,391269670
Alle geslachte dieren,Gevogelte,2021,België,Waals Gewest,49291104,63845715
Alle geslachte dieren,Gevogelte,2021,België,,303392286,455115385
Alle geslachte dieren,Gevogelte,2022,België,Vlaams + Brussels Hoofdstedeli,249655673,385678693
Alle geslachte dieren,Gevogelte,2022,België,Waals Gewest,48943838,63359861
Alle geslachte dieren,Gevogelte,2022,België,,298599511,449038554
Alle geslachte dieren,,2020,België,Vlaams + Brussels Hoofdstedeli,260097913,1575815108
Alle geslachte dieren,,2020,België,Waals Gewest,50112943,230411393
Alle geslachte dieren,,2020,België,,310210856,1806226501
Alle geslachte dieren,,2021,België,Vlaams + Brussels Hoofdstedeli,265548300,1614510450
Alle geslachte dieren,,2021,België,Waals Gewest,50340688,231280249
Alle geslachte dieren,,2021,België,,315888988,1845790699
Alle geslachte dieren,,2022,België,Vlaams + Brussels Hoofdstedeli,260088374,1493347765
Alle geslachte dieren,,2022,België,Waals Gewest,49907749,228968028
Alle geslachte dieren,,2022,België,,309996123,1722315793
