Herkomst en bestemming,Soort ontvangen zuivelproduct,Maand,Hoeveelheid,Vetgehalte,Eiwitgehalte
Ontvangst van houders van melkkoeien (België + invoer),Melk,April 2022,370415760.0,4.19,3.41
Ontvangst van houders van melkkoeien (België + invoer),Melk,Mei 2022,389621775.0,4.05,3.38
Ontvangst van houders van melkkoeien (België + invoer),Melk,Juni 2022,371436163.0,4.01,3.34
Ontvangst van houders van melkkoeien (België + invoer),Melk,Juli 2022,375338574.0,3.97,3.32
Ontvangst van houders van melkkoeien (België + invoer),Melk,Augustus 2022,363952418.0,3.99,3.33
Ontvangst van houders van melkkoeien (België + invoer),Melk,September 2022,350680439.0,4.12,3.42
Ontvangst van houders van melkkoeien (België + invoer),Melk,Oktober 2022,363146561.0,4.23,3.5
Ontvangst van houders van melkkoeien (België + invoer),Melk,November 2022,352349500.0,4.27,3.52
Ontvangst van houders van melkkoeien (België + invoer),Melk,December 2022,366890765.0,4.38,3.55
Ontvangst van houders van melkkoeien (België + invoer),Room,April 2022,25334.0,40.17,
Ontvangst van houders van melkkoeien (België + invoer),Room,Mei 2022,47311.0,40.18,
Ontvangst van houders van melkkoeien (België + invoer),Room,Juni 2022,19270.0,40.2,
Ontvangst van houders van melkkoeien (België + invoer),Room,Juli 2022,17999.0,40.12,
Ontvangst van houders van melkkoeien (België + invoer),Room,Augustus 2022,37722.0,40.15,
Ontvangst van houders van melkkoeien (België + invoer),Room,September 2022,29726.0,40.2,
Ontvangst van houders van melkkoeien (België + invoer),Room,Oktober 2022,35740.0,40.17,
Ontvangst van houders van melkkoeien (België + invoer),Room,November 2022,1225.0,39.58,
Ontvangst van houders van melkkoeien (België + invoer),Room,December 2022,,,
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,April 2022,1052958.0,0.32,3.43
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Mei 2022,1317043.0,0.26,3.43
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Juni 2022,1186613.0,0.28,3.37
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Juli 2022,980806.0,0.32,3.34
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Augustus 2022,943443.0,0.31,3.34
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,September 2022,982071.0,0.42,3.5
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,Oktober 2022,1064263.0,0.3,3.61
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,November 2022,1021375.0,0.33,3.61
Ontvangst van houders van melkkoeien (België + invoer),Magere melk,December 2022,1053911.0,0.29,3.59
