Sectie,Maand,Btw-plichtig ond. aan het einde van de maand
"A Landbouw, bosbouw en visserij",Februari 2022,50028
"A Landbouw, bosbouw en visserij",Maart 2022,49953
"A Landbouw, bosbouw en visserij",April 2022,49996
"A Landbouw, bosbouw en visserij",Mei 2022,49967
"A Landbouw, bosbouw en visserij",Juni 2022,49903
"A Landbouw, bosbouw en visserij",Juli 2022,49945
"A Landbouw, bosbouw en visserij",Augustus 2022,49970
"A Landbouw, bosbouw en visserij",September 2022,49955
"A Landbouw, bosbouw en visserij",Oktober 2022,49983
"A Landbouw, bosbouw en visserij",November 2022,49982
"A Landbouw, bosbouw en visserij",December 2022,49792
"A Landbouw, bosbouw en visserij",Januari 2023,49776
"A Landbouw, bosbouw en visserij",Februari 2023,49768
B Winning van delfstoffen,Februari 2022,208
B Winning van delfstoffen,Maart 2022,207
B Winning van delfstoffen,April 2022,207
B Winning van delfstoffen,Mei 2022,210
B Winning van delfstoffen,Juni 2022,210
B Winning van delfstoffen,Juli 2022,210
B Winning van delfstoffen,Augustus 2022,209
B Winning van delfstoffen,September 2022,208
B Winning van delfstoffen,Oktober 2022,209
B Winning van delfstoffen,November 2022,211
B Winning van delfstoffen,December 2022,211
B Winning van delfstoffen,Januari 2023,211
B Winning van delfstoffen,Februari 2023,211
C Industrie,Februari 2022,56215
C Industrie,Maart 2022,56151
C Industrie,April 2022,56399
C Industrie,Mei 2022,56509
C Industrie,Juni 2022,56425
C Industrie,Juli 2022,56545
C Industrie,Augustus 2022,56654
C Industrie,September 2022,56620
C Industrie,Oktober 2022,56885
C Industrie,November 2022,56982
C Industrie,December 2022,56680
C Industrie,Januari 2023,56656
C Industrie,Februari 2023,56724
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Februari 2022,1360
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Maart 2022,1362
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",April 2022,1359
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Mei 2022,1356
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Juni 2022,1346
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Juli 2022,1350
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Augustus 2022,1355
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",September 2022,1350
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Oktober 2022,1359
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",November 2022,1360
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",December 2022,1358
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Januari 2023,1361
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Februari 2023,1369
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Februari 2022,1773
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Maart 2022,1767
E Distributie van water/ afval- en afvalwaterbeheer en sanering,April 2022,1788
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Mei 2022,1794
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Juni 2022,1798
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Juli 2022,1809
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Augustus 2022,1815
E Distributie van water/ afval- en afvalwaterbeheer en sanering,September 2022,1821
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Oktober 2022,1825
E Distributie van water/ afval- en afvalwaterbeheer en sanering,November 2022,1839
E Distributie van water/ afval- en afvalwaterbeheer en sanering,December 2022,1835
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Januari 2023,1837
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Februari 2023,1845
F Bouwnijverheid,Februari 2022,152660
F Bouwnijverheid,Maart 2022,152768
F Bouwnijverheid,April 2022,153728
F Bouwnijverheid,Mei 2022,154400
F Bouwnijverheid,Juni 2022,154655
F Bouwnijverheid,Juli 2022,155290
F Bouwnijverheid,Augustus 2022,155752
F Bouwnijverheid,September 2022,155959
F Bouwnijverheid,Oktober 2022,156969
F Bouwnijverheid,November 2022,157634
F Bouwnijverheid,December 2022,157323
F Bouwnijverheid,Januari 2023,157677
F Bouwnijverheid,Februari 2023,158223
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Februari 2022,189755
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Maart 2022,189387
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,April 2022,189727
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Mei 2022,189823
