Totaal,Bijzonder aggregaties,Jaar,Trimester,Maand,Inflatie (HICP)
Totaal,Niet-bewerkte levensmiddelen,2022,2de kwartaal 2022,April 2022,0.041
Totaal,Niet-bewerkte levensmiddelen,2022,2de kwartaal 2022,Mei 2022,0.055
Totaal,Niet-bewerkte levensmiddelen,2022,2de kwartaal 2022,Juni 2022,0.071
Totaal,Niet-bewerkte levensmiddelen,2022,3de kwartaal 2022,Juli 2022,0.08
Totaal,Niet-bewerkte levensmiddelen,2022,3de kwartaal 2022,Augustus 2022,0.087
Totaal,Niet-bewerkte levensmiddelen,2022,3de kwartaal 2022,September 2022,0.089
Totaal,Niet-bewerkte levensmiddelen,2022,4de kwartaal 2022,Oktober 2022,0.118
Totaal,Niet-bewerkte levensmiddelen,2022,4de kwartaal 2022,November 2022,0.144
Totaal,Niet-bewerkte levensmiddelen,2022,4de kwartaal 2022,December 2022,0.135
Totaal,Niet-bewerkte levensmiddelen,2023,1ste kwartaal 2023,Januari 2023,0.161
Totaal,Niet-bewerkte levensmiddelen,2023,1ste kwartaal 2023,Februari 2023,0.166
Totaal,Niet-bewerkte levensmiddelen,2023,1ste kwartaal 2023,Maart 2023,0.175
Totaal,Bewerkte levensmiddelen,2022,2de kwartaal 2022,April 2022,0.052
Totaal,Bewerkte levensmiddelen,2022,2de kwartaal 2022,Mei 2022,0.066
Totaal,Bewerkte levensmiddelen,2022,2de kwartaal 2022,Juni 2022,0.083
Totaal,Bewerkte levensmiddelen,2022,3de kwartaal 2022,Juli 2022,0.093
Totaal,Bewerkte levensmiddelen,2022,3de kwartaal 2022,Augustus 2022,0.096
Totaal,Bewerkte levensmiddelen,2022,3de kwartaal 2022,September 2022,0.105
Totaal,Bewerkte levensmiddelen,2022,4de kwartaal 2022,Oktober 2022,0.116
Totaal,Bewerkte levensmiddelen,2022,4de kwartaal 2022,November 2022,0.131
Totaal,Bewerkte levensmiddelen,2022,4de kwartaal 2022,December 2022,0.135
Totaal,Bewerkte levensmiddelen,2023,1ste kwartaal 2023,Januari 2023,0.163
Totaal,Bewerkte levensmiddelen,2023,1ste kwartaal 2023,Februari 2023,0.169
Totaal,Bewerkte levensmiddelen,2023,1ste kwartaal 2023,Maart 2023,0.176
Totaal,Niet-energetische industriële goederen,2022,2de kwartaal 2022,April 2022,0.032
Totaal,Niet-energetische industriële goederen,2022,2de kwartaal 2022,Mei 2022,0.033
Totaal,Niet-energetische industriële goederen,2022,2de kwartaal 2022,Juni 2022,0.036
Totaal,Niet-energetische industriële goederen,2022,3de kwartaal 2022,Juli 2022,0.04
Totaal,Niet-energetische industriële goederen,2022,3de kwartaal 2022,Augustus 2022,0.042
Totaal,Niet-energetische industriële goederen,2022,3de kwartaal 2022,September 2022,0.051
Totaal,Niet-energetische industriële goederen,2022,4de kwartaal 2022,Oktober 2022,0.056
Totaal,Niet-energetische industriële goederen,2022,4de kwartaal 2022,November 2022,0.06
Totaal,Niet-energetische industriële goederen,2022,4de kwartaal 2022,December 2022,0.064
Totaal,Niet-energetische industriële goederen,2023,1ste kwartaal 2023,Januari 2023,0.067
Totaal,Niet-energetische industriële goederen,2023,1ste kwartaal 2023,Februari 2023,0.067
Totaal,Niet-energetische industriële goederen,2023,1ste kwartaal 2023,Maart 2023,0.07
Totaal,Energie dragers,2022,2de kwartaal 2022,April 2022,0.629
Totaal,Energie dragers,2022,2de kwartaal 2022,Mei 2022,0.655
Totaal,Energie dragers,2022,2de kwartaal 2022,Juni 2022,0.646
Totaal,Energie dragers,2022,3de kwartaal 2022,Juli 2022,0.551
Totaal,Energie dragers,2022,3de kwartaal 2022,Augustus 2022,0.553
Totaal,Energie dragers,2022,3de kwartaal 2022,September 2022,0.672
Totaal,Energie dragers,2022,4de kwartaal 2022,Oktober 2022,0.692
Totaal,Energie dragers,2022,4de kwartaal 2022,November 2022,0.379
