Alle grootteklassen,Grootteklasse werknemers,Jaar,Maand,Aantal faillissementen
Alle grootteklassen,0 - 4 werknemers,2022,Maart 2022,849.0
Alle grootteklassen,0 - 4 werknemers,2022,April 2022,559.0
Alle grootteklassen,0 - 4 werknemers,2022,Mei 2022,885.0
Alle grootteklassen,0 - 4 werknemers,2022,Juni 2022,1000.0
Alle grootteklassen,0 - 4 werknemers,2022,Juli 2022,483.0
Alle grootteklassen,0 - 4 werknemers,2022,Augustus 2022,288.0
Alle grootteklassen,0 - 4 werknemers,2022,September 2022,881.0
Alle grootteklassen,0 - 4 werknemers,2022,Oktober 2022,824.0
Alle grootteklassen,0 - 4 werknemers,2022,November 2022,712.0
Alle grootteklassen,0 - 4 werknemers,2022,December 2022,720.0
Alle grootteklassen,0 - 4 werknemers,2023,Januari 2023,725.0
Alle grootteklassen,0 - 4 werknemers,2023,Februari 2023,750.0
Alle grootteklassen,0 - 4 werknemers,2023,Maart 2023,820.0
Alle grootteklassen,5 - 9 werknemers,2022,Maart 2022,41.0
Alle grootteklassen,5 - 9 werknemers,2022,April 2022,38.0
Alle grootteklassen,5 - 9 werknemers,2022,Mei 2022,40.0
Alle grootteklassen,5 - 9 werknemers,2022,Juni 2022,55.0
Alle grootteklassen,5 - 9 werknemers,2022,Juli 2022,33.0
Alle grootteklassen,5 - 9 werknemers,2022,Augustus 2022,24.0
Alle grootteklassen,5 - 9 werknemers,2022,September 2022,54.0
Alle grootteklassen,5 - 9 werknemers,2022,Oktober 2022,64.0
Alle grootteklassen,5 - 9 werknemers,2022,November 2022,42.0
Alle grootteklassen,5 - 9 werknemers,2022,December 2022,51.0
Alle grootteklassen,5 - 9 werknemers,2023,Januari 2023,44.0
Alle grootteklassen,5 - 9 werknemers,2023,Februari 2023,57.0
Alle grootteklassen,5 - 9 werknemers,2023,Maart 2023,72.0
Alle grootteklassen,10 - 19 werknemers,2022,Maart 2022,18.0
Alle grootteklassen,10 - 19 werknemers,2022,April 2022,15.0
Alle grootteklassen,10 - 19 werknemers,2022,Mei 2022,12.0
Alle grootteklassen,10 - 19 werknemers,2022,Juni 2022,23.0
Alle grootteklassen,10 - 19 werknemers,2022,Juli 2022,8.0
Alle grootteklassen,10 - 19 werknemers,2022,Augustus 2022,7.0
