Jaar/Maand,Dag,Productgroep,Product,Prijs incl. BTW
apr23,13apr23,Benzines,Benzine 95 RON E5 (€/L),1.865
apr23,13apr23,Benzines,Benzine 95 RON E10 (€/L),1.845
apr23,13apr23,Benzines,Benzine 98 RON E5 (€/L),2.006
apr23,13apr23,Benzines,Benzine 98 RON E10 (€/L),1.984
apr23,13apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.816
apr23,13apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.804
apr23,13apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.818
apr23,13apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.854
apr23,13apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.556
apr23,13apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.903
apr23,13apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.94
apr23,13apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.88
apr23,13apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.918
apr23,13apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.908
apr23,13apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.945
apr23,13apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.051
apr23,13apr23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.896
apr23,13apr23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.933
apr23,13apr23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.044
apr23,13apr23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.005
apr23,13apr23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),0.967
apr23,13apr23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.113
apr23,13apr23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.041
apr23,13apr23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.004
apr23,13apr23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.15
apr23,13apr23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.766
apr23,13apr23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.85
apr23,13apr23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.714
apr23,13apr23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.856
apr23,13apr23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.773
apr23,13apr23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),609.2
apr23,14apr23,Benzines,Benzine 95 RON E5 (€/L),1.865
apr23,14apr23,Benzines,Benzine 95 RON E10 (€/L),1.845
apr23,14apr23,Benzines,Benzine 98 RON E5 (€/L),2.006
apr23,14apr23,Benzines,Benzine 98 RON E10 (€/L),1.984
apr23,14apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.816
apr23,14apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.804
apr23,14apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.818
apr23,14apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.854
apr23,14apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.556
apr23,14apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.916
apr23,14apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.954
apr23,14apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (vanaf 2000 l) (€/L),0.893
apr23,14apr23,Gasolie Diesel (landbouw doeleinden),Gasolie Diesel Landbouw (minder dan 2000 l) (€/L),0.931
apr23,14apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (vanaf 2000 l) (€/L),0.921
apr23,14apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (minder dan 2000 l) (€/L),0.959
apr23,14apr23,Gasolie Diesel (I&C doeleinden),Gasolie Diesel I&C (aan de pomp) (€/L),1.065
apr23,14apr23,Gasolie verwarming,Gasolie verwarming 50S (vanaf 2000 l) (€/L),0.908
apr23,14apr23,Gasolie verwarming,Gasolie verwarming 50S (minder dan 2000 l) (€/L),0.945
apr23,14apr23,Gasolie verwarming,Gasolie verwarming 50S (aan de pomp) (€/L),1.057
apr23,14apr23,Lamppetroleum,lamppetroleum (type B) (minder dan 2000 l) (€/L),1.005
apr23,14apr23,Lamppetroleum,lamppetroleum (type B) (vanaf 2000 l) (€/L),0.967
apr23,14apr23,Lamppetroleum,lamppetroleum (type B) (aan de pomp) (€/L),1.113
apr23,14apr23,Lamppetroleum,lamppetroleum (type C) (minder dan 2000 l) (€/L),1.041
apr23,14apr23,Lamppetroleum,lamppetroleum (type C) (vanaf 2000 l) (€/L),1.004
apr23,14apr23,Lamppetroleum,lamppetroleum (type C) (aan de pomp) (€/L),1.15
apr23,14apr23,Propaan,propaan (in bulk) (vanaf 2000 l) (€/L),0.766
apr23,14apr23,Propaan,propaan (in bulk) (minder dan 2000 l) (€/L),0.85
apr23,14apr23,Butaan + LPG,Autogas LPG (aan de pomp) (€/L),0.714
apr23,14apr23,Butaan + LPG,Autogas LPG (minder dan 2000 l) (€/L),0.856
apr23,14apr23,Butaan + LPG,Autogas LPG (vanaf 2000 l) (€/L),0.773
apr23,14apr23,Stookolie,Extra zware stookolie met 1 % S (per tankwagen) (€/T),609.2
apr23,15apr23,Benzines,Benzine 95 RON E5 (€/L),1.844
apr23,15apr23,Benzines,Benzine 95 RON E10 (€/L),1.834
apr23,15apr23,Benzines,Benzine 98 RON E5 (€/L),2.002
apr23,15apr23,Benzines,Benzine 98 RON E10 (€/L),1.989
apr23,15apr23,Gasolie Diesel wegvervoer,Diesel B7 (€/L),1.816
apr23,15apr23,Gasolie Diesel wegvervoer,Diesel B10 (€/L),1.804
apr23,15apr23,Gasolie Diesel wegvervoer,Diesel B20 (€/L),1.818
apr23,15apr23,Gasolie Diesel wegvervoer,Diesel B30 (€/L),1.854
apr23,15apr23,Gasolie Diesel wegvervoer,Diesel XTL (€/L),2.556
apr23,15apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (vanaf 2000 l) (€/L),0.91
apr23,15apr23,Gasolie Diesel (verwarmingsdoeleinden),Gasolie Diesel Verwarming (minder dan 2000 l) (€/L),0.948
