Totaal,Niveau 1,Jaar,Maand,Inflatie
Totaal,1. Voedingsmiddelen en dranken,2022,Juni 2022,0.086
Totaal,1. Voedingsmiddelen en dranken,2022,Juli 2022,0.097
Totaal,1. Voedingsmiddelen en dranken,2022,Augustus 2022,0.102
Totaal,1. Voedingsmiddelen en dranken,2022,September 2022,0.107
Totaal,1. Voedingsmiddelen en dranken,2022,Oktober 2022,0.129
Totaal,1. Voedingsmiddelen en dranken,2022,November 2022,0.151
Totaal,1. Voedingsmiddelen en dranken,2022,December 2022,0.152
Totaal,1. Voedingsmiddelen en dranken,2023,Januari 2023,0.164
Totaal,1. Voedingsmiddelen en dranken,2023,Februari 2023,0.168
Totaal,1. Voedingsmiddelen en dranken,2023,Maart 2023,0.18
Totaal,1. Voedingsmiddelen en dranken,2023,April 2023,0.176
Totaal,Tabak en alcoholhoudende dranken,2022,Juni 2022,0.06
Totaal,Tabak en alcoholhoudende dranken,2022,Juli 2022,0.048
Totaal,Tabak en alcoholhoudende dranken,2022,Augustus 2022,0.055
Totaal,Tabak en alcoholhoudende dranken,2022,September 2022,0.069
Totaal,Tabak en alcoholhoudende dranken,2022,Oktober 2022,0.062
Totaal,Tabak en alcoholhoudende dranken,2022,November 2022,0.077
Totaal,Tabak en alcoholhoudende dranken,2022,December 2022,0.077
Totaal,Tabak en alcoholhoudende dranken,2023,Januari 2023,0.069
Totaal,Tabak en alcoholhoudende dranken,2023,Februari 2023,0.091
Totaal,Tabak en alcoholhoudende dranken,2023,Maart 2023,0.07
Totaal,Tabak en alcoholhoudende dranken,2023,April 2023,0.074
Totaal,3. Kleding en schoeisel,2022,Juni 2022,-0.013
Totaal,3. Kleding en schoeisel,2022,Juli 2022,-0.013
Totaal,3. Kleding en schoeisel,2022,Augustus 2022,0.001
Totaal,3. Kleding en schoeisel,2022,September 2022,0.03
Totaal,3. Kleding en schoeisel,2022,Oktober 2022,0.044
Totaal,3. Kleding en schoeisel,2022,November 2022,0.062
Totaal,3. Kleding en schoeisel,2022,December 2022,0.069
Totaal,3. Kleding en schoeisel,2023,Januari 2023,0.069
Totaal,3. Kleding en schoeisel,2023,Februari 2023,0.055
Totaal,3. Kleding en schoeisel,2023,Maart 2023,0.062
Totaal,3. Kleding en schoeisel,2023,April 2023,0.076
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Juni 2022,0.236
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Juli 2022,0.227
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Augustus 2022,0.249
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,September 2022,0.315
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,Oktober 2022,0.339
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,November 2022,0.209
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2022,December 2022,0.205
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,Januari 2023,0.055
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,Februari 2023,-0.018
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,Maart 2023,-0.013
Totaal,"4. Huisvesting, water, elektriciteit, gas en andere brandstoffen",2023,April 2023,-0.067
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",2022,Juni 2022,0.047
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",2022,Juli 2022,0.052
Totaal,"5. Stoffering, huishoudelijke apparaten en dagelijks onderhoud van de woning",2022,Augustus 2022,0.052
